---------------------------------------------------------------------------------------------------
Date: 12/19/2025 -- 02:20:54 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.segment_from_cache                                       | Total                     | 3
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 13
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
flow.end.state.new                                           | Total                     | 4
flow.mgr.full_hash_pass                                      | Total                     | 4
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9504
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 10
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 4
flow.mgr.flows_evicted                                       | Total                     | 4
memcap.pressure                                              | Total                     | 10
memcap.pressure_max                                          | Total                     | 10
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 4
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 6848512
tcp.reassembly_memuse                                        | Total                     | 1275904
http.memuse                                                  | Total                     | 336
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9411456
---------------------------------------------------------------------------------------------------
Date: 12/19/2025 -- 02:30:40 (uptime: 0d, 00h 00m 56s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 43
capture.afpacket.polls                                       | Total                     | 5871
capture.afpacket.poll_timeout                                | Total                     | 5849
capture.afpacket.poll_data                                   | Total                     | 22
decoder.pkts                                                 | Total                     | 43
decoder.bytes                                                | Total                     | 22227
decoder.ipv4                                                 | Total                     | 18
decoder.ipv6                                                 | Total                     | 11
decoder.ethernet                                             | Total                     | 43
decoder.arp                                                  | Total                     | 14
decoder.tcp                                                  | Total                     | 17
tcp.syn                                                      | Total                     | 1
tcp.synack                                                   | Total                     | 1
decoder.icmpv6                                               | Total                     | 11
decoder.avg_pkt_size                                         | Total                     | 516
decoder.max_pkt_size                                         | Total                     | 5666
tcp.active_sessions                                          | Total                     | 1
flow.total                                                   | Total                     | 5
flow.active                                                  | Total                     | 1
flow.tcp                                                     | Total                     | 1
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 5
decoder.event.ipv4.opt_pad_required                          | Total                     | 1
decoder.event.ipv6.zero_len_padn                             | Total                     | 10
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.segment_from_cache                                       | Total                     | 3
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 13
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
flow.end.state.new                                           | Total                     | 4
flow.mgr.full_hash_pass                                      | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9504
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 10
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 4
flow.mgr.flows_evicted                                       | Total                     | 4
memcap.pressure                                              | Total                     | 10
memcap.pressure_max                                          | Total                     | 10
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 4
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 6848512
tcp.reassembly_memuse                                        | Total                     | 1275904
http.memuse                                                  | Total                     | 336
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9411456
---------------------------------------------------------------------------------------------------
Date: 12/19/2025 -- 02:30:48 (uptime: 0d, 00h 01m 04s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 43
capture.afpacket.polls                                       | Total                     | 6850
capture.afpacket.poll_timeout                                | Total                     | 6828
capture.afpacket.poll_data                                   | Total                     | 22
decoder.pkts                                                 | Total                     | 43
decoder.bytes                                                | Total                     | 22227
decoder.ipv4                                                 | Total                     | 18
decoder.ipv6                                                 | Total                     | 11
decoder.ethernet                                             | Total                     | 43
decoder.arp                                                  | Total                     | 14
decoder.tcp                                                  | Total                     | 17
tcp.syn                                                      | Total                     | 1
tcp.synack                                                   | Total                     | 1
decoder.icmpv6                                               | Total                     | 11
decoder.avg_pkt_size                                         | Total                     | 516
decoder.max_pkt_size                                         | Total                     | 5666
tcp.active_sessions                                          | Total                     | 1
flow.total                                                   | Total                     | 5
flow.active                                                  | Total                     | 1
flow.tcp                                                     | Total                     | 1
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 5
decoder.event.ipv4.opt_pad_required                          | Total                     | 1
decoder.event.ipv6.zero_len_padn                             | Total                     | 10
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.segment_from_cache                                       | Total                     | 3
tcp.segment_from_pool                                        | Total                     | 2
detect.alert                                                 | Total                     | 13
app_layer.flow.http                                          | Total                     | 1
app_layer.tx.http                                            | Total                     | 1
flow.end.state.new                                           | Total                     | 4
flow.mgr.full_hash_pass                                      | Total                     | 6
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9504
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 10
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 4
flow.mgr.flows_evicted                                       | Total                     | 4
memcap.pressure                                              | Total                     | 10
memcap.pressure_max                                          | Total                     | 10
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 4
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 6848512
tcp.reassembly_memuse                                        | Total                     | 1275904
http.memuse                                                  | Total                     | 336
http.byterange.memuse                                        | Total                     | 176384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 406144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 390144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 9411456
---------------------------------------------------------------------------------------------------
Date: 12/19/2025 -- 02:30:56 (uptime: 0d, 00h 01m 12s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 43
capture.afpacket.polls                                       | Total                     | 7504
capture.afpacket.poll_timeout                                | Total                     | 7482
capture.afpacket.poll_data                                   | Total                     | 22
decoder.pkts                                                 | Total                     | 43
decoder.bytes                                                | Total                     | 22227
decoder.ipv4                                                 | Total                     | 18
decoder.ipv6                                                 | Total                     | 11
decoder.ethernet                                             | Total                     | 43
decoder.arp                                                  | Total                     | 14
decoder.tcp                                                  | Total                     | 17
tcp.syn                                                      | Total                     | 1
tcp.synack                                                   | Total                     | 1
decoder.icmpv6                                               | Total                     | 11
